country_iso3,year,total_stations,dc_fast_chargers,ac_chargers,avg_power_kw,source
FIN,2020,215.0,47.0,168.0,32.573488372093024,OpenChargeMap + AFDC
FIN,2021,48.0,19.0,29.0,61.083333333333336,OpenChargeMap + AFDC
FIN,2022,29.0,16.0,13.0,52.6551724137931,OpenChargeMap + AFDC
FIN,2023,1065.0,628.0,379.0,30.60608175473579,OpenChargeMap + AFDC
FIN,2024,115.0,36.0,71.0,91.35327102803738,OpenChargeMap + AFDC
FIN,2025,23.0,17.0,6.0,103.91304347826087,OpenChargeMap + AFDC
FIN,2026,5.0,4.0,0.0,362.5,OpenChargeMap + AFDC
FRA,2022,2199.0,407.0,1784.0,30.540674874601,OpenChargeMap + AFDC
FRA,2023,365.0,333.0,31.0,195.0436813186813,OpenChargeMap + AFDC
FRA,2024,142.0,113.0,28.0,224.4964539007092,OpenChargeMap + AFDC
FRA,2025,1335.0,1302.0,23.0,239.44354716981127,OpenChargeMap + AFDC
FRA,2026,955.0,934.0,19.0,147.89401888772298,OpenChargeMap + AFDC
GBR,2023,4214.0,635.0,3576.0,22.10047483380817,OpenChargeMap + AFDC
GBR,2024,601.0,381.0,216.0,77.9547403685092,OpenChargeMap + AFDC
GBR,2025,161.0,76.0,76.0,87.13078947368422,OpenChargeMap + AFDC
GBR,2026,13.0,6.0,6.0,100.5,OpenChargeMap + AFDC
IND,2017,3.0,0.0,3.0,7.2,OpenChargeMap + AFDC
IND,2018,14.0,1.0,13.0,2.9714285714285715,OpenChargeMap + AFDC
IND,2019,1.0,0.0,1.0,3.3,OpenChargeMap + AFDC
IND,2020,9.0,1.0,4.0,19.06,OpenChargeMap + AFDC
IND,2021,6.0,2.0,2.0,19.575,OpenChargeMap + AFDC
IND,2022,7.0,4.0,3.0,21.714285714285715,OpenChargeMap + AFDC
IND,2023,15.0,9.0,4.0,27.700000000000003,OpenChargeMap + AFDC
IND,2024,172.0,146.0,21.0,41.05988023952096,OpenChargeMap + AFDC
IND,2025,1002.0,941.0,55.0,1049.748496993988,OpenChargeMap + AFDC
IND,2026,483.0,188.0,232.0,37.6049881275929,OpenChargeMap + AFDC
ITA,2019,135.0,16.0,118.0,26.872180451127814,OpenChargeMap + AFDC
ITA,2020,1322.0,199.0,1104.0,30.35824345146379,OpenChargeMap + AFDC
ITA,2021,829.0,277.0,533.0,43.922249690976514,OpenChargeMap + AFDC
ITA,2022,947.0,514.0,429.0,82.43117709437965,OpenChargeMap + AFDC
ITA,2023,725.0,354.0,363.0,76.11352859135286,OpenChargeMap + AFDC
ITA,2024,549.0,371.0,173.0,82.79724264705882,OpenChargeMap + AFDC
ITA,2025,414.0,256.0,156.0,108.39514563106796,OpenChargeMap + AFDC
ITA,2026,55.0,49.0,6.0,170.83636363636364,OpenChargeMap + AFDC
JPN,2011,14.0,1.0,13.0,16.800000000000004,OpenChargeMap + AFDC
JPN,2013,1266.0,1.0,1265.0,48.0,OpenChargeMap + AFDC
JPN,2015,38.0,8.0,30.0,24.33333333333333,OpenChargeMap + AFDC
JPN,2016,184.0,184.0,0.0,50.18478260869565,OpenChargeMap + AFDC
JPN,2024,123.0,123.0,0.0,208.91056910569105,OpenChargeMap + AFDC
JPN,2025,16.0,0.0,16.0,90.0,OpenChargeMap + AFDC
KOR,2024,161.0,161.0,0.0,230.7142857142857,OpenChargeMap + AFDC
NLD,2015,2304.0,39.0,2265.0,11.562253397632617,OpenChargeMap + AFDC
NLD,2016,2051.0,27.0,2019.0,11.59622733953944,OpenChargeMap + AFDC
NLD,2017,80.0,13.0,65.0,28.777631578947368,OpenChargeMap + AFDC
